epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.6652,0,1,1,0,0.00058,0.00058,0.00058
2,97.7685,0,1,1,0,0.00115664,0.00115664,0.00115664
3,145.318,0,1,1,0,0.00170951,0.00170951,0.00170951
4,190.725,0,1,1,0,0.0018812,0.0018812,0.0018812
5,236.067,0,1,1,0,0.0018416,0.0018416,0.0018416
6,281.892,0,1,1,0,0.001802,0.001802,0.001802
7,327.587,0,1,1,0,0.0017624,0.0017624,0.0017624
8,373.491,0,1,1,0,0.0017228,0.0017228,0.0017228
9,419.36,0,1,1,0,0.0016832,0.0016832,0.0016832
10,465.119,0,1,1,0,0.0016436,0.0016436,0.0016436
11,510.784,0,1,1,0,0.001604,0.001604,0.001604
12,556.407,0,1,1,0,0.0015644,0.0015644,0.0015644
13,601.719,0,1,1,0,0.0015248,0.0015248,0.0015248
14,648.458,0,1,1,0,0.0014852,0.0014852,0.0014852
15,693.563,0,1,1,0,0.0014456,0.0014456,0.0014456
16,739.032,0,1,1,0,0.001406,0.001406,0.001406
17,784.063,0,1,1,0,0.0013664,0.0013664,0.0013664
18,827.932,0,1,1,0,0.0013268,0.0013268,0.0013268
19,871.633,0,1,1,0,0.0012872,0.0012872,0.0012872
20,915.528,0,1,1,0,0.0012476,0.0012476,0.0012476
21,959.213,0,1,1,0,0.001208,0.001208,0.001208
22,1003.13,0,1,1,0,0.0011684,0.0011684,0.0011684
23,1046.71,0,1,1,0,0.0011288,0.0011288,0.0011288
24,1090.48,0,1,1,0,0.0010892,0.0010892,0.0010892
25,1134.3,0,1,1,0,0.0010496,0.0010496,0.0010496
26,1178.16,0,1,1,0,0.00101,0.00101,0.00101
27,1221.77,0,1,1,0,0.0009704,0.0009704,0.0009704
28,1265.9,0,1,1,0,0.0009308,0.0009308,0.0009308
29,1310.05,0,1,1,0,0.0008912,0.0008912,0.0008912
30,1353.54,0,1,1,0,0.0008516,0.0008516,0.0008516
31,1397.21,0,1,1,0,0.000812,0.000812,0.000812
32,1441,0,1,1,0,0.0007724,0.0007724,0.0007724
33,1484.79,0,1,1,0,0.0007328,0.0007328,0.0007328
34,1528.36,0,1,1,0,0.0006932,0.0006932,0.0006932
35,1572.14,0,1,1,0,0.0006536,0.0006536,0.0006536
36,1615.72,0,1,1,0,0.000614,0.000614,0.000614
37,1659.41,0,1,1,0,0.0005744,0.0005744,0.0005744
38,1703.04,0,1,1,0,0.0005348,0.0005348,0.0005348
39,1746.97,0,1,1,0,0.0004952,0.0004952,0.0004952
40,1790.47,0,1,1,0,0.0004556,0.0004556,0.0004556
41,1834.38,0,1,1,0,0.000416,0.000416,0.000416
42,1878.2,0,1,1,0,0.0003764,0.0003764,0.0003764
43,1928.21,0,1,1,0,0.0003368,0.0003368,0.0003368
44,1979.42,0,1,1,0,0.0002972,0.0002972,0.0002972
45,2029.14,0,1,1,0,0.0002576,0.0002576,0.0002576
46,2079.76,0,1,1,0,0.000218,0.000218,0.000218
47,2125.18,0,1,1,0,0.0001784,0.0001784,0.0001784
48,2171.05,0,1,1,0,0.0001388,0.0001388,0.0001388
49,2216.52,0,1,1,0,9.92e-05,9.92e-05,9.92e-05
50,2262.07,0,1,1,0,5.96e-05,5.96e-05,5.96e-05
